"mechanism_id","source_clause_id","mechanism_family","normalized_mechanism","negative_condition","jurisdiction_scope","orynth_mapping_status","correspondence_grade","notes"
"US-CM-000001","US-CONST-ATOM-000001","F1","Legislative powers granted by the Constitution are vested in the Congress of the United States.","Legislative authority is not established outside the identified constitutional grant and vested institution.","UNITED-STATES/FEDERAL/LEGISLATIVE","UNASSESSED","UNASSESSED","Primary family AUTHORITY-VESTING; phrase 'herein granted' preserves granted-scope limitation."
"US-CM-000002","US-CONST-ATOM-000002","F2","Congress is constitutionally constituted as two distinct chambers: the Senate and the House of Representatives.","Neither chamber alone constitutes the whole Congress where the Constitution assigns authority to Congress as the bicameral institution.","UNITED-STATES/FEDERAL/LEGISLATIVE-STRUCTURE","UNASSESSED","UNASSESSED","Primary family AUTHORITY-SEPARATION; bicameral institutional separation."
"US-CM-000003","US-CONST-ATOM-000003","F1","House membership authority originates through recurring selection by the People of the several States.","House membership is not constitutionally constituted through an alternative selector under this source clause.","UNITED-STATES/HOUSE/STATE-ELECTORATES","UNASSESSED","UNASSESSED","Election interval preserved as a source condition; supersession_status=UNASSESSED."
"US-CM-000004","US-CONST-ATOM-000004","F3","Eligibility to participate as a House elector in each State is bounded by the qualifications required for electors of that State's most numerous legislative branch.","A House elector qualification exceeding or departing from the constitutionally linked State qualification is not established by this clause.","UNITED-STATES/HOUSE/STATE-ELECTOR-QUALIFICATIONS","UNASSESSED","UNASSESSED","Primary family ENUMERATED-SCOPED-POWER."
"US-CM-000005","US-CONST-ATOM-000005","F3","Eligibility for service as a Representative is bounded by minimum age, citizenship duration, and State inhabitancy requirements.","A person failing any stated qualification is not constitutionally qualified under this clause.","UNITED-STATES/HOUSE/MEMBER-QUALIFICATIONS","UNASSESSED","UNASSESSED","Age=25; citizenship duration=7 years; inhabitancy tied to represented State."
"US-CM-000006","US-CONST-ATOM-000006","F6","Representation and direct-tax apportionment operate among the States according to the population rule stated in the source text.","Apportionment under this clause is not established outside the identified interstate allocation domain and stated counting rule.","UNITED-STATES/STATES/APPORTIONMENT","UNASSESSED","UNASSESSED","Source contains editorial bracket marker; supersession_status=UNASSESSED; current legal effect not adjudicated here."
"US-CM-000007","US-CONST-ATOM-000007","F3","The constitutional enumeration is temporally bounded and its manner is subject to direction by law.","Enumeration timing or manner outside the stated constitutional schedule and lawful direction is not authorized by this clause.","UNITED-STATES/FEDERAL/ENUMERATION","UNASSESSED","UNASSESSED","Initial deadline and recurring ten-year interval preserved."
"US-CM-000008","US-CONST-ATOM-000008","F3","The number of Representatives is bounded by a maximum ratio of one Representative for every thirty thousand persons under this source rule.","Representation exceeding the stated maximum ratio is not authorized by this clause.","UNITED-STATES/HOUSE/APPORTIONMENT","UNASSESSED","UNASSESSED","Numerical scope constraint."
"US-CM-000009","US-CONST-ATOM-000009","F3","Each State is guaranteed at least one Representative under the stated apportionment structure.","A State receiving zero Representatives is inconsistent with this source clause.","UNITED-STATES/HOUSE/STATES","UNASSESSED","UNASSESSED","Minimum allocation constraint."
"US-CM-000010","US-CONST-ATOM-000010","F6","Before completion of the first enumeration, representation is allocated among the named States according to the source's transitional allocation.","The transitional allocation does not establish authority beyond the named States, quantities, or stated pre-enumeration period.","UNITED-STATES/HOUSE/INITIAL-STATE-ALLOCATION","UNASSESSED","UNASSESSED","Transitional constitutional allocation; current_effect=UNASSESSED."
"US-CM-000011","US-CONST-ATOM-000011","F1","When a vacancy occurs in a State's House representation, that State's Executive Authority is vested with the duty to issue election writs to fill the vacancy.","The vacancy condition does not vest the writ-issuing function in an unidentified or different principal under this clause.","UNITED-STATES/HOUSE/STATE-VACANCIES","UNASSESSED","UNASSESSED","Condition=vacancy in State representation."
"US-CM-000012","US-CONST-ATOM-000012","F1","The House of Representatives is vested with authority to choose its Speaker and other officers.","This clause does not vest selection of House officers in an external principal.","UNITED-STATES/HOUSE/INTERNAL-OFFICERS","UNASSESSED","UNASSESSED","Institution-specific internal appointment authority."
"US-CM-000013","US-CONST-ATOM-000013","F2","The power of impeachment is allocated exclusively to the House of Representatives.","Another constitutional actor may not substitute for the House in exercising the sole impeachment power under this clause.","UNITED-STATES/HOUSE/IMPEACHMENT","UNASSESSED","UNASSESSED","Exclusive authority allocation; 'sole Power' controls family selection."
"US-CM-000014","US-CONST-ATOM-000014","F2","The Senate is structurally constituted by equal State representation, with two Senators from each State and the term stated in the source.","Senate composition under this clause is not constituted by unequal State seat allocation.","UNITED-STATES/SENATE/STATE-REPRESENTATION","UNASSESSED","UNASSESSED","Source contains editorial bracket marker concerning selection; supersession_status=UNASSESSED."
"US-CM-000015","US-CONST-ATOM-000015","F3","Each Senator's voting authority is bounded to one vote.","A Senator is not granted more than one vote by this clause.","UNITED-STATES/SENATE/VOTING","UNASSESSED","UNASSESSED","Per-member voting-scope constraint."
"US-CM-000016","US-CONST-ATOM-000016","F3","Following the first election, Senators are procedurally divided as equally as possible into three classes.","The initial classification process is not authorized outside the stated three-class structure.","UNITED-STATES/SENATE/INITIAL-CLASSIFICATION","UNASSESSED","UNASSESSED","Structural procedure with initial-election condition."
"US-CM-000017","US-CONST-ATOM-000017","F3","Senate class terms are temporally staggered so that approximately one third of seats become selectable every second year.","The initial class expiration schedule is not established outside the stated second-, fourth-, and sixth-year sequence.","UNITED-STATES/SENATE/TERM-STAGGERING","UNASSESSED","UNASSESSED","Temporal scope mechanism."
